======================================
        ISOTOPE ACTIVITY FILE         
======================================
 
Compiled: 15:08:41  11/01/2016    
MPI Processes:    1
 
Date: 15:39 14/01/2016
 Time/s           1H3            23V47           23V49           23V50           23V52           23V53           24CR49          24CR51          24CR55          24CR56          25MN50          25MN51          25MN52          25MN53          25MN54          25MN56          25MN57          26FE52          26FE53          26FE55          27CO53          27CO54          27CO55          27CO56          27CO57          27CO58
   0.340000E+05    0.161629E+02    0.226688E+00    0.132739E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.191351E+02    0.165522E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.281373E+02    0.102107E+06    0.901929E-03    0.979573E+04   0.000000E+00    0.000000E+00     0.363274E+05   0.000000E+00     0.123772E+05   0.000000E+00    0.000000E+00     0.711169E+06    0.965763E+04    0.108801E+03    0.250788E+02
   0.350000E+05    0.161629E+02    0.159048E+00    0.132733E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.145620E+02    0.165425E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.219122E+02    0.101854E+06    0.901929E-03    0.979548E+04   0.000000E+00    0.000000E+00     0.354919E+05   0.000000E+00     0.123827E+05   0.000000E+00    0.000000E+00     0.703400E+06    0.965663E+04    0.108797E+03    0.250759E+02
   0.360000E+05    0.161629E+02    0.111591E+00    0.132727E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.110818E+02    0.165329E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.170643E+02    0.101601E+06    0.901929E-03    0.979523E+04   0.000000E+00    0.000000E+00     0.346756E+05   0.000000E+00     0.123881E+05   0.000000E+00    0.000000E+00     0.695717E+06    0.965562E+04    0.108794E+03    0.250731E+02
   0.370000E+05    0.161628E+02    0.782937E-01    0.132721E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.843340E+01    0.165233E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.132890E+02    0.101347E+06    0.901929E-03    0.979498E+04   0.000000E+00    0.000000E+00     0.338781E+05   0.000000E+00     0.123934E+05   0.000000E+00    0.000000E+00     0.688117E+06    0.965462E+04    0.108791E+03    0.250703E+02
   0.380000E+05    0.161628E+02    0.549321E-01    0.132716E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.641791E+01    0.165137E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.103489E+02    0.101092E+06    0.901929E-03    0.979472E+04   0.000000E+00    0.000000E+00     0.330989E+05   0.000000E+00     0.123987E+05   0.000000E+00    0.000000E+00     0.680601E+06    0.965362E+04    0.108788E+03    0.250674E+02
   0.390000E+05    0.161628E+02    0.385412E-01    0.132710E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.488410E+01    0.165040E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.805934E+01    0.100837E+06    0.901929E-03    0.979447E+04   0.000000E+00    0.000000E+00     0.323377E+05   0.000000E+00     0.124040E+05   0.000000E+00    0.000000E+00     0.673166E+06    0.965262E+04    0.108784E+03    0.250646E+02
   0.400000E+05    0.161627E+02    0.270411E-01    0.132704E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.371685E+01    0.164944E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.627629E+01    0.100580E+06    0.901929E-03    0.979422E+04   0.000000E+00    0.000000E+00     0.315939E+05   0.000000E+00     0.124092E+05   0.000000E+00    0.000000E+00     0.665813E+06    0.965161E+04    0.108781E+03    0.250618E+02
   0.410000E+05    0.161627E+02    0.189724E-01    0.132698E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.282856E+01    0.164848E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.488772E+01    0.100323E+06    0.901929E-03    0.979397E+04   0.000000E+00    0.000000E+00     0.308673E+05   0.000000E+00     0.124143E+05   0.000000E+00    0.000000E+00     0.658540E+06    0.965061E+04    0.108778E+03    0.250589E+02
   0.420000E+05    0.161627E+02    0.133114E-01    0.132692E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.215257E+01    0.164752E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.380636E+01    0.100066E+06    0.901929E-03    0.979372E+04   0.000000E+00    0.000000E+00     0.301574E+05   0.000000E+00     0.124193E+05   0.000000E+00    0.000000E+00     0.651346E+06    0.964961E+04    0.108775E+03    0.250561E+02
   0.430000E+05    0.161627E+02    0.933946E-02    0.132686E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.163813E+01    0.164656E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.296424E+01    0.998073E+05    0.901929E-03    0.979347E+04   0.000000E+00    0.000000E+00     0.294638E+05   0.000000E+00     0.124243E+05   0.000000E+00    0.000000E+00     0.644231E+06    0.964861E+04    0.108772E+03    0.250532E+02
   0.440000E+05    0.161626E+02    0.655271E-02    0.132680E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.124663E+01    0.164560E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.230843E+01    0.995484E+05    0.901929E-03    0.979321E+04   0.000000E+00    0.000000E+00     0.287861E+05   0.000000E+00     0.124293E+05   0.000000E+00    0.000000E+00     0.637194E+06    0.964760E+04    0.108768E+03    0.250504E+02
   0.450000E+05    0.161626E+02    0.459748E-02    0.132674E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.948701E+00    0.164464E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.179771E+01    0.992889E+05    0.901929E-03    0.979296E+04   0.000000E+00    0.000000E+00     0.281241E+05   0.000000E+00     0.124342E+05   0.000000E+00    0.000000E+00     0.630234E+06    0.964660E+04    0.108765E+03    0.250476E+02
   0.460000E+05    0.161626E+02    0.322567E-02    0.132668E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.721972E+00    0.164367E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.139998E+01    0.990288E+05    0.901929E-03    0.979271E+04   0.000000E+00    0.000000E+00     0.274773E+05   0.000000E+00     0.124390E+05   0.000000E+00    0.000000E+00     0.623350E+06    0.964560E+04    0.108762E+03    0.250447E+02
   0.470000E+05    0.161625E+02    0.226318E-02    0.132662E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.549428E+00    0.164271E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.109025E+01    0.987682E+05    0.901929E-03    0.979246E+04   0.000000E+00    0.000000E+00     0.268453E+05   0.000000E+00     0.124438E+05   0.000000E+00    0.000000E+00     0.616540E+06    0.964460E+04    0.108759E+03    0.250419E+02
   0.480000E+05    0.161625E+02    0.158788E-02    0.132656E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.418121E+00    0.164175E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.849042E+00    0.985071E+05    0.901929E-03    0.979221E+04   0.000000E+00    0.000000E+00     0.262279E+05   0.000000E+00     0.124485E+05   0.000000E+00    0.000000E+00     0.609806E+06    0.964360E+04    0.108756E+03    0.250391E+02
   0.490000E+05    0.161625E+02    0.111408E-02    0.132650E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.318195E+00    0.164079E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.661200E+00    0.982454E+05    0.901929E-03    0.979196E+04   0.000000E+00    0.000000E+00     0.256247E+05   0.000000E+00     0.124532E+05   0.000000E+00    0.000000E+00     0.603145E+06    0.964259E+04    0.108752E+03    0.250362E+02
   0.500000E+05    0.161625E+02    0.781657E-03    0.132644E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.242150E+00    0.163984E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.514916E+00    0.979833E+05    0.901929E-03    0.979170E+04   0.000000E+00    0.000000E+00     0.250353E+05   0.000000E+00     0.124578E+05   0.000000E+00    0.000000E+00     0.596556E+06    0.964159E+04    0.108749E+03    0.250334E+02
   0.510000E+05    0.161624E+02    0.548422E-03    0.132638E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.184278E+00    0.163888E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.400995E+00    0.977207E+05    0.901929E-03    0.979145E+04   0.000000E+00    0.000000E+00     0.244595E+05   0.000000E+00     0.124624E+05   0.000000E+00    0.000000E+00     0.590040E+06    0.964059E+04    0.108746E+03    0.250306E+02
   0.520000E+05    0.161624E+02    0.384782E-03    0.132632E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.140238E+00    0.163792E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.312279E+00    0.974577E+05    0.901929E-03    0.979120E+04   0.000000E+00    0.000000E+00     0.238970E+05   0.000000E+00     0.124669E+05   0.000000E+00    0.000000E+00     0.583595E+06    0.963959E+04    0.108743E+03    0.250277E+02
   0.530000E+05    0.161624E+02    0.269969E-03    0.132625E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.106723E+00    0.163696E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.243190E+00    0.971943E+05    0.901929E-03    0.979095E+04   0.000000E+00    0.000000E+00     0.233474E+05   0.000000E+00     0.124714E+05   0.000000E+00    0.000000E+00     0.577220E+06    0.963859E+04    0.108740E+03    0.250249E+02
   0.540000E+05    0.161623E+02    0.189414E-03    0.132619E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.812170E-01    0.163600E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.189387E+00    0.969305E+05    0.901929E-03    0.979070E+04   0.000000E+00    0.000000E+00     0.228104E+05   0.000000E+00     0.124758E+05   0.000000E+00    0.000000E+00     0.570914E+06    0.963759E+04    0.108736E+03    0.250221E+02
   0.550000E+05    0.161623E+02    0.132896E-03    0.132613E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.618071E-01    0.163504E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.147487E+00    0.966662E+05    0.901929E-03    0.979045E+04   0.000000E+00    0.000000E+00     0.222858E+05   0.000000E+00     0.124801E+05   0.000000E+00    0.000000E+00     0.564678E+06    0.963659E+04    0.108733E+03    0.250192E+02
   0.560000E+05    0.161623E+02    0.932419E-04    0.132607E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.470358E-01    0.163408E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.114857E+00    0.964016E+05    0.901929E-03    0.979019E+04   0.000000E+00    0.000000E+00     0.217732E+05   0.000000E+00     0.124845E+05   0.000000E+00    0.000000E+00     0.558510E+06    0.963559E+04    0.108730E+03    0.250164E+02
   0.570000E+05    0.161623E+02    0.654200E-04    0.132601E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.357948E-01    0.163313E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.894456E-01    0.961367E+05    0.901929E-03    0.978994E+04   0.000000E+00    0.000000E+00     0.212725E+05   0.000000E+00     0.124887E+05   0.000000E+00    0.000000E+00     0.552409E+06    0.963459E+04    0.108727E+03    0.250136E+02
   0.580000E+05    0.161622E+02    0.458997E-04    0.132595E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.272402E-01    0.163217E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.696566E-01    0.958715E+05    0.901929E-03    0.978969E+04   0.000000E+00    0.000000E+00     0.207832E+05   0.000000E+00     0.124929E+05   0.000000E+00    0.000000E+00     0.546375E+06    0.963358E+04    0.108723E+03    0.250107E+02
   0.590000E+05    0.161622E+02    0.322039E-04    0.132589E+03    0.172912E-16   0.000000E+00    0.000000E+00     0.207301E-01    0.163121E+05   0.000000E+00    0.000000E+00    0.000000E+00     0.542458E-01    0.956059E+05    0.901929E-03    0.978944E+04   0.000000E+00    0.000000E+00     0.203052E+05   0.000000E+00     0.124971E+05   0.000000E+00    0.000000E+00     0.540407E+06    0.963258E+04    0.108720E+03    0.250079E+02
