======================================
       AVERAGE ION TRAJECTORY         
======================================
 
Compiled: 15:08:41  11/01/2016    
MPI Processes:    1
 
Date: 21:35 24/06/2016
    0.21016486E+07        0.79353157E+04
    0.21054491E+07        0.79240504E+04
    0.21092495E+07        0.79127844E+04
    0.21130500E+07        0.79015178E+04
    0.21168504E+07        0.78902506E+04
    0.21206509E+07        0.78789829E+04
    0.21244513E+07        0.78677146E+04
    0.21282518E+07        0.78564458E+04
    0.21320522E+07        0.78451765E+04
    0.21358527E+07        0.78339067E+04
    0.21396531E+07        0.78226366E+04
    0.21434536E+07        0.78113660E+04
    0.21472540E+07        0.78000951E+04
    0.21510545E+07        0.77888238E+04
    0.21548549E+07        0.77775521E+04
    0.21586554E+07        0.77662802E+04
    0.21624558E+07        0.77550079E+04
    0.21662562E+07        0.77437354E+04
    0.21700567E+07        0.77324626E+04
    0.21738571E+07        0.77211895E+04
    0.21776576E+07        0.77099162E+04
    0.21814580E+07        0.76986427E+04
    0.21852585E+07        0.76873689E+04
    0.21890589E+07        0.76760949E+04
    0.21928594E+07        0.76648208E+04
    0.21966598E+07        0.76535464E+04
    0.22004603E+07        0.76422718E+04
    0.22042607E+07        0.76309971E+04
    0.22080612E+07        0.76197222E+04
    0.22118616E+07        0.76084470E+04
    0.22156621E+07        0.75971717E+04
    0.22194625E+07        0.75858962E+04
    0.22232630E+07        0.75746206E+04
    0.22270634E+07        0.75633447E+04
    0.22308639E+07        0.75520686E+04
    0.22346643E+07        0.75407923E+04
    0.22384648E+07        0.75295158E+04
    0.22422652E+07        0.75182391E+04
    0.22460657E+07        0.75069621E+04
    0.22498661E+07        0.74956848E+04
    0.22536666E+07        0.74844073E+04
    0.22574670E+07        0.74731296E+04
    0.22612675E+07        0.74618515E+04
    0.22650679E+07        0.74505730E+04
    0.22688684E+07        0.74392943E+04
    0.22726688E+07        0.74280151E+04
    0.22764693E+07        0.74167356E+04
    0.22802697E+07        0.74054557E+04
    0.22840702E+07        0.73941753E+04
    0.22878706E+07        0.73828944E+04
    0.22916711E+07        0.73716131E+04
    0.22954715E+07        0.73603312E+04
    0.22992720E+07        0.73490487E+04
    0.23030724E+07        0.73377656E+04
    0.23068729E+07        0.73264819E+04
    0.23106733E+07        0.73151975E+04
    0.23144738E+07        0.73039124E+04
    0.23182742E+07        0.72926265E+04
    0.23220747E+07        0.72813398E+04
    0.23258751E+07        0.72700523E+04
    0.23296756E+07        0.72587638E+04
    0.23334760E+07        0.72474745E+04
    0.23372765E+07        0.72361841E+04
    0.23410769E+07        0.72248926E+04
    0.23448774E+07        0.72136001E+04
    0.23486778E+07        0.72023064E+04
    0.23524783E+07        0.71910115E+04
    0.23562787E+07        0.71797153E+04
    0.23600792E+07        0.71684178E+04
    0.23638796E+07        0.71571189E+04
    0.23676801E+07        0.71458185E+04
    0.23714805E+07        0.71345166E+04
    0.23752810E+07        0.71232131E+04
    0.23790814E+07        0.71119079E+04
    0.23828819E+07        0.71006010E+04
    0.23866823E+07        0.70892923E+04
    0.23904828E+07        0.70779817E+04
    0.23942832E+07        0.70666691E+04
    0.23980837E+07        0.70553545E+04
    0.24018841E+07        0.70440378E+04
    0.24056846E+07        0.70327188E+04
    0.24094850E+07        0.70213976E+04
    0.24132855E+07        0.70100739E+04
    0.24170859E+07        0.69987479E+04
    0.24208864E+07        0.69874192E+04
    0.24246868E+07        0.69760879E+04
    0.24284873E+07        0.69647539E+04
    0.24322877E+07        0.69534170E+04
    0.24360882E+07        0.69420771E+04
    0.24398886E+07        0.69307343E+04
    0.24436891E+07        0.69193883E+04
    0.24474895E+07        0.69080390E+04
    0.24512900E+07        0.68966864E+04
    0.24550904E+07        0.68853303E+04
    0.24588909E+07        0.68739706E+04
    0.24626913E+07        0.68626073E+04
    0.24664918E+07        0.68512402E+04
    0.24702922E+07        0.68398691E+04
    0.24740927E+07        0.68284940E+04
    0.24778931E+07        0.68171147E+04
    0.24816936E+07        0.68057312E+04
    0.24854940E+07        0.67943433E+04
    0.24892945E+07        0.67829508E+04
    0.24930949E+07        0.67715536E+04
    0.24968954E+07        0.67601517E+04
    0.25006958E+07        0.67487448E+04
    0.25044963E+07        0.67373329E+04
    0.25082967E+07        0.67259158E+04
    0.25120972E+07        0.67144933E+04
    0.25158976E+07        0.67030654E+04
    0.25196981E+07        0.66916318E+04
    0.25234985E+07        0.66801924E+04
    0.25272990E+07        0.66687472E+04
    0.25310994E+07        0.66572958E+04
    0.25348999E+07        0.66458382E+04
    0.25387003E+07        0.66343742E+04
    0.25425008E+07        0.66229037E+04
    0.25463012E+07        0.66114265E+04
    0.25501017E+07        0.65999424E+04
    0.25539021E+07        0.65884513E+04
    0.25577026E+07        0.65769530E+04
    0.25615030E+07        0.65654473E+04
    0.25653035E+07        0.65539340E+04
    0.25691039E+07        0.65424131E+04
    0.25729044E+07        0.65308843E+04
    0.25767048E+07        0.65193474E+04
    0.25805053E+07        0.65078022E+04
    0.25843057E+07        0.64962486E+04
    0.25881062E+07        0.64846864E+04
    0.25919066E+07        0.64731154E+04
    0.25957070E+07        0.64615354E+04
    0.25995075E+07        0.64499462E+04
    0.26033079E+07        0.64383476E+04
    0.26071084E+07        0.64267394E+04
    0.26109088E+07        0.64151214E+04
    0.26147093E+07        0.64034934E+04
    0.26185097E+07        0.63918553E+04
    0.26223102E+07        0.63802067E+04
    0.26261106E+07        0.63685475E+04
    0.26299111E+07        0.63568775E+04
    0.26337115E+07        0.63451965E+04
    0.26375120E+07        0.63335041E+04
    0.26413124E+07        0.63218003E+04
    0.26451129E+07        0.63100848E+04
    0.26489133E+07        0.62983574E+04
    0.26527138E+07        0.62866178E+04
    0.26565142E+07        0.62748658E+04
    0.26603147E+07        0.62631012E+04
    0.26641151E+07        0.62513238E+04
    0.26679156E+07        0.62395332E+04
    0.26717160E+07        0.62277293E+04
    0.26755165E+07        0.62159118E+04
